Journal,xml_file_name,article_title,epub_Date,RRID mentions,RRID Count
BMC_Genomics,PMC6381758.nxml,Sex differences in gene regulation in the dorsal root ganglion after nerve injury,19-2-2019,['RRID: SCR_003387'],1
BMC_Genomics,PMC5025611.nxml,Pangenome and immuno-proteomics analysis of Acinetobacter baumannii strains revealed the core peptide vaccine targets,15-9-2016,"['RRID: SCR_002474', 'RRID:SCR_007969', 'RRID:SCR_002909', 'RRID:SCR_007964', 'RRID:SCR_012880', 'RRID:SCR_012820', 'RRID:SCR_013032', 'RRID:SCR_005828', 'RRID:SCR_005223']",9
BMC_Genomics,PMC6882081.nxml,"Enhancement of de novo sequencing, assembly and annotation of the Mongolian gerbil genome with transcriptome sequencing and assembly from several different tissues",27-11-2019,['RRID:SCR_012954'],1
BMC_Genomics,PMC6937694.nxml,High-level integration of murine intestinal transcriptomics data highlights the importance of the complement system in mucosal homeostasis,30-12-2019,"['RRID:SCR_002924', 'RRID:SCR_003485', 'RRID:SCR_009881', 'RRID:SCR_002744']",4
BMC_Mol_Cell_Biol,PMC7557079.nxml,WRN modulates translation by influencing nuclear mRNA export in HeLa cancer cells,14-10-2020,"['RRID:SCR_003070', 'RRID:SCR_002798', 'RRID:SCR_002798']",3
BMC_Med_Inform_Decis_Mak,PMC4802654.nxml,Health figures: an open source JavaScript library for health data visualization,22-3-2016,[' SCR_014201'],1
BMC_Neurosci,PMC6542065.nxml,Iron concentrations in neurons and glial cells with estimates on ferritin concentrations,29-5-2019,[' SCR_013728'],1
BMC_Neurosci,PMC6219247.nxml,Identification of the neurotransmitter profile of AmFoxP expressing neurons in the honeybee brain using double-label in situ hybridization,6-11-2018,"['SCR_001010', 'RRID:SCR_001591', 'RRID:SCR_002285', 'RRID: SCR_015807']",4
BMC_Neurosci,PMC6617565.nxml,Chronic exposure to high fat diet triggers myelin disruption and interleukin-33 upregulation in hypothalamus,10-7-2019,['RRID: SCR_003070'],1
BMC_Neurosci,PMC6854655.nxml,28th Annual Computational Neuroscience Meeting: CNS*2019,14-11-2019,['RRID:SCR_003833'],1
BMC_Pregnancy_Childbirth,PMC7146893.nxml,Preeclampsia management modalities and perinatal death: a retrospective study in Woldia general hospital,9-4-2020,['RRID:SCR_002865'],1
BMC_Pregnancy_Childbirth,PMC6833198.nxml,Impact of parturition on maternal cardiovascular and neuronal integrity in a high risk cohort – a prospective cohort study,5-11-2019,['RRID:SCR_002865'],1
BMC_Pregnancy_Childbirth,PMC7350629.nxml,Preeclampsia in pregnancy affecting the stemness and differentiation potency of haematopoietic stem cell of the umbilical cord blood,10-7-2020,"['RRID:SCR_014489', 'RRID:SCR_002865']",2
BMC_Pregnancy_Childbirth,PMC6938605.nxml,"Effect of pregnancy induced hypertension on adverse perinatal outcomes in Tigray regional state, Ethiopia: a prospective cohort study",31-12-2019,[' SCR_012763'],1
BMC_Pregnancy_Childbirth,PMC7310540.nxml,Real-world in-hospital outcomes and potential predictors of heart failure in primigravid women with heart disease in Southwestern China,23-6-2020,['RRID: SCR_002865'],1
BMC_Pregnancy_Childbirth,PMC6942295.nxml,Glycated albumin in pregnancy: reference intervals establishment and its predictive value in adverse pregnancy outcomes,3-1-2020,['RRID:SCR_002865'],1
BMC_Pregnancy_Childbirth,PMC6824088.nxml,Association between thyroid-stimulating hormone and maternal hemodynamics in hypertensive disorders of pregnancy: an observational study,1-11-2019,"['RRID:SCR_002865', 'RRID:SCR_015044']",2
BMC_Pregnancy_Childbirth,PMC7528234.nxml,Risk factors for sub–therapeutic serum concentrations of magnesium sulfate in severe preeclampsia of Chinese patients,1-10-2020,['RRID: SCR_002865'],1
BMC_Microbiol,PMC7268675.nxml,Altered gut microbiota in infants is associated with respiratory syncytial virus disease severity,1-6-2020,"['RRID: SCR_008249', 'RRID: SCR_014609']",2
BMC_Plant_Biol,PMC6737726.nxml,Genome-wide association and differential expression analysis of salt tolerance in Gossypium hirsutum L at the germination stage,11-9-2019,"['RRID:SCR_002865', 'RRID:SCR_012837']",2
BMC_Psychol,PMC5127005.nxml,"Attentional and affective consequences of technology supported mindfulness training: a randomised, active control, efficacy trial",29-11-2016,['RRID:SCR_014418'],1
BMJ_Open_Diabetes_Res_Care,PMC7254100.nxml,Relationship of obesity to adipose tissue insulin resistance,2-4-2020,"['RRID: SCR_002865', 'RRID: SCR_001905']",2
BMC_Vet_Res,PMC6971886.nxml,Molecular alterations of the TLR4-signaling cascade in canine epilepsy,20-1-2020,['RRID:SCR_003070'],1
BMC_Res_Notes,PMC6558810.nxml,Identification of a bone morphogenetic protein type 2 receptor neutralizing antibody,11-6-2019,['RRID:SCR_003070'],1
Behav_Sci_(Basel),PMC6358900.nxml,Erythropoietin Protects Against Cognitive Impairment and Hippocampal Neurodegeneration in Diabetic Mice,28-12-2018,['RRID:SCR_002865'],1
Biol_Methods_Protoc,PMC6994081.nxml,Absolute quantitation of poly(R)-3-hydroxybutyric acid using spectrofluorometry in recombinant Escherichia coli,08-8-2018,['RRID: SCR_015053'],1
Biol_Methods_Protoc,PMC6994029.nxml,Quantifying pigment cover to assess variation in animal colouration,27-3-2017,"['RRID:SCR_003070', 'RRID:SCR_001905', 'RRID:SCR_002865']",3
Biol_Methods_Protoc,PMC6994071.nxml,Identification of stable reference genes for lipopolysaccharide-stimulated macrophage gene expression studies,27-12-2016,"['RRID: SCR_003089', 'RRID:SCR_006763', 'RRID:SCR_003387', 'RRID:SCR_002798']",4
Biol_Sex_Differ,PMC6329134.nxml,Estrogen receptor profiles across tissues from male and female Rattus norvegicus,11-1-2019,"['RRID:SCR_008539', 'RRID:SCR_008452', 'RRID:SCR_008988', 'RRID:SCR_008426', 'RRID:SCR_002798']",5
Biol_Sex_Differ,PMC6744626.nxml,Targeting senescence improves angiogenic potential of adipose-derived mesenchymal stem cells in patients with preeclampsia,14-9-2019,"['RRID: SCR_002798', 'RRID: SCR_002865']",2
Biol_Open,PMC6215408.nxml,Epigenetic modifications by polyphenolic compounds alter gene expression in the hippocampus,3-7-2018,"['RRID: SCR_001802', 'RRID:SCR_005177']",2
Biomed_Hub,PMC6985882.nxml,Teaching Helping Babies Breathe via Telehealth: A New Application in Rural Guatemala,24-9-2019,['RRID:SCR_005886'],1
Biomol_Ther_(Seoul),PMC7059814.nxml,"PBT-6, a Novel PI3KC2γ Inhibitor in Rheumatoid Arthritis",18-11-2019,['RRID: SCR_002798'],1
Biomolecules,PMC7072161.nxml,Licochalcone D Induces ROS-Dependent Apoptosis in Gefitinib-Sensitive or Resistant Lung Cancer Cells by Targeting EGFR and MET,13-2-2020,['RRID: SCR_002798'],1
Biomolecules,PMC7022473.nxml,Reduced Sulfation Enhanced Oxytosis and Ferroptosis in Mouse Hippocampal HT22 Cells,06-1-2020,['SCR_002798'],1
Blood_Cancer_J,PMC6333829.nxml,Superior efficacy of cotreatment with BET protein inhibitor and BCL2 or MCL1 inhibitor against AML blast progenitor cells,15-1-2019,"['RRID: SCR_008406', 'RRID: SCR_005039', 'RRID:SCR_015795']",3
Br_J_Pharmacol,PMC6780030.nxml,Drug‐induced shortening of the electromechanical window is an effective biomarker for in silico prediction of clinical risk of arrhythmias,04-9-2019,['RRID:SCR_001622'],1
Br_J_Pharmacol,PMC6637043.nxml,Ca2+ signalling plays a role in celastrol‐mediated suppression of synovial fibroblasts of rheumatoid arthritis patients and experimental arthritis in rats,04-7-2019,"['RRID:SCR_002798', 'RRID:SCR_003070']",2
Br_J_Pharmacol,PMC7348096.nxml,"Activation of μ‐opioid receptors by MT‐45 (1‐cyclohexyl‐4‐(1,2‐diphenylethyl)piperazine) and its fluorinated derivatives",13-5-2020,['RRID:SCR_014294'],1
Br_J_Pharmacol,PMC6609550.nxml,Blockade of the forward Na+/Ca2+ exchanger suppresses the growth of glioblastoma cells through Ca2+‐mediated cell death,17-6-2019,"['RRID:SCR_011323', 'RRID:SCR_014247', 'RRID:SCR_002798']",3
Br_J_Pharmacol,PMC6534792.nxml,"1,2,3,4,6‐Penta‐O‐galloyl‐β‐d‐glucose modulates perivascular inflammation and prevents vascular dysfunction in angiotensin II‐induced hypertension",14-3-2019,['RRID:SCR_008520'],1
Br_J_Pharmacol,PMC7024713.nxml,Hydrogen sulfide inhibits calcification of heart valves; implications for calcific aortic valve disease,24-4-2019,['RRID:SCR_002798'],1
Br_J_Pharmacol,PMC6932941.nxml,Inhibition of the hyaluronan matrix enhances metabolic anticancer therapy by dichloroacetate in vitro and in vivo,09-12-2019,"['RRID:SCR_002285', 'RRID:SCR_002677', 'RRID:SCR_002798']",3
Br_J_Pharmacol,PMC7443477.nxml,Translational engagement of lysophosphatidic acid receptor 1 in skin fibrosis: from dermal fibroblasts of patients with scleroderma to tight skin 1 mouse,05-8-2020,"['RRID:SCR_018618', 'RRID:SCR_018060', 'RRID:SCR_018060', 'RRID:SCR_018043', 'RRID:SCR_002798', 'RRID:SCR_018026', 'RRID:SCR_002677', 'RRID:SCR_008567']",8
Br_J_Pharmacol,PMC7029771.nxml,Considerations for improved performance of competition association assays analysed with the Motulsky–Mahan's “kinetics of competitive binding” model,26-12-2019,"['RRID:SCR_002798', 'RRID:SCR_002798', 'RRID:SCR_014260', 'RRID:SCR_014260']",4
Br_J_Pharmacol,PMC7056470.nxml,"Icariside II, a phosphodiesterase 5 inhibitor, attenuates cerebral ischaemia/reperfusion injury by inhibiting glycogen synthase kinase‐3β‐mediated activation of autophagy",16-2-2020,"['SCR_003070', 'SCR_003070', 'SCR_003070', 'SCR_003070', 'SCR_012746', 'SCR_012746', 'SCR_012746', 'SCR_012746', 'SCR_004284', 'SCR_004284', 'SCR_004284', 'SCR_004284', 'SCR_000305', 'SCR_000305', 'SCR_000305', 'SCR_000305', 'SCR_002838', 'SCR_002838', 'SCR_002838', 'SCR_002838', 'SCR_002798', 'SCR_002798', 'SCR_002798', 'SCR_002798', 'SCR_013077', 'SCR_013077', 'SCR_013077', 'SCR_013077']",28
Br_J_Pharmacol,PMC7280013.nxml,Activation of the MET receptor attenuates doxorubicin‐induced cardiotoxicity in vivo and in vitro,29-5-2020,"['RRID:SCR_003070', 'RRID:SCR_002798']",2
Br_J_Pharmacol,PMC7042104.nxml,Long‐lasting correction of in vivo LTP and cognitive deficits of mice modelling Down syndrome with an α5‐selective GABAA inverse agonist,09-1-2020,"['RRID:SCR_003792', 'RRID:SCR_003792', 'RRID:SCR_000441']",3
Br_J_Pharmacol,PMC6932944.nxml,Novel pharmacological actions of trequinsin hydrochloride improve human sperm cell motility and function,11-12-2019,"['RRID:SCR_014240', 'RRID:SCR_001905', 'RRID:SCR_002798']",3
Br_J_Pharmacol,PMC7012949.nxml,Neurotrophic interactions between neurons and astrocytes following AAV1‐Rheb(S16H) transduction in the hippocampus in vivo,27-12-2019,"['RRID:SCR_016980', 'RRID:SCR_016980', 'RRID:SCR_014299', 'RRID:SCR_003210']",4
Br_J_Pharmacol,PMC7436585.nxml,Protective effects of Δ9‐tetrahydrocannabinol against enterotoxin‐induced acute respiratory distress syndrome are mediated by modulation of microbiota,08-10-2020,"['RRID:SCR_003070', 'RRID:SCR_016595', 'RRID:SCR_002798', 'RRID:SCR_014609', 'RRID:SCR_014609']",5
Br_J_Pharmacol,PMC6692576.nxml,Salinomycin exerts anti‐colorectal cancer activity by targeting the β‐catenin/T‐cell factor complex,24-7-2019,"['RRID:SCR_013673', 'RRID:SCR_016695', 'RRID:SCR_000306']",3
Br_J_Pharmacol,PMC6592853.nxml,Stimulation of β‐adrenoceptors up‐regulates cardiac expression of galectin‐3 and BIM through the Hippo signalling pathway,30-5-2019,"['RRID:SCR_014210', 'RRID:SCR_002344', 'RRID:SCR_002798']",3
Br_J_Pharmacol,PMC6555867.nxml,Influence of sildenafil on the purinergic components of nerve‐mediated and urothelial ATP release from the bladder of normal and spinal cord injured mice,11-5-2019,['RRID:SCR_002798'],1
Br_J_Pharmacol,PMC7484557.nxml,Inhibition of Bruton's TK regulates macrophage NF‐κB and NLRP3 inflammasome activation in metabolic inflammation,26-8-2020,"['RRID:SCR_013311', 'RRID:SCR_008520', 'RRID:SCR_002798']",3
Br_J_Pharmacol,PMC6811745.nxml,Intranasal administration of a stapled relaxin‐3 mimetic has anxiolytic‐ and antidepressant‐like activity in rats,11-9-2019,"['SCR_016748', 'SCR_016748', 'SCR_016748', 'SCR_016748', 'SCR_003070', 'SCR_003070', 'SCR_003070', 'SCR_003070', 'SCR_014593', 'SCR_014593', 'SCR_014593', 'SCR_014593', 'SCR_016137', 'SCR_016137', 'SCR_016137', 'SCR_016137', 'SCR_000441', 'SCR_000441', 'SCR_000441', 'SCR_000441']",20
Br_J_Pharmacol,PMC7520443.nxml,Prefrontal inhibition of neuronal Kv7 channels enhances prepulse inhibition of acoustic startle reflex and resistance to hypofrontality,17-9-2020,"['RRID:SCR_008426', 'RRID:SCR_002798']",2
Br_J_Pharmacol,PMC6780994.nxml,Evaluation and use of an anti‐cynomolgus monkey CD79b surrogate antibody–drug conjugate to enable clinical development of polatuzumab vedotin,24-8-2019,"['RRID:SCR_001224', 'RRID:SCR_00379', 'RRID:SCR_003997', 'RRID:SCR_006724', 'RRID:SCR_000401', 'RRID:SCR_008520', 'RRID:SCR_014240', 'RRID:SCR_004728', 'RRID:SCR_013311', 'RRID:SCR_000004', 'RRID:SCR_013554', 'RRID:SCR_000401']",12
Br_J_Pharmacol,PMC7174883.nxml,Treatment with anti‐neonatal Fc receptor (FcRn) antibody ameliorates experimental epidermolysis bullosa acquisita in mice,06-3-2020,"['SCR_003070', 'SCR_003070', 'SCR_003070', 'SCR_003070', 'SCR_002798', 'SCR_002798', 'SCR_002798', 'SCR_002798', 'SCR_003210', 'SCR_003210', 'SCR_003210', 'SCR_003210']",12
Br_J_Pharmacol,PMC7024737.nxml,"Antithrombotic effect of SP‐8008, a benzoic acid derivative, through the selective inhibition of shear stress‐induced platelet aggregation",21-1-2020,"['RRID: SCR_003070', 'RRID:SCR_002798', 'RRID:SCR_002865']",3
Br_J_Pharmacol,PMC7589013.nxml,Major histocompatibility complexes are up‐regulated in glomerular endothelial cells via activation of c‐Jun N‐terminal kinase in 5/6 nephrectomy mice,30-9-2020,"['RRID:SCR_008520', 'RRID:SCR_003070', 'RRID:SCR_003070', 'RRID:SCR_002798']",4
Br_J_Pharmacol,PMC6609544.nxml,Histidine at position 462 determines the low quinine sensitivity of ether‐à‐go‐go channel superfamily member Kv12.1,17-6-2019,"['RRID:SCR_002380', 'RRID:SCR_000034', 'RRID:SCR_000325', 'RRID:SCR_008395', 'RRID:SCR_014892', 'RRID:SCR_014565', 'RRID:SCR_001820']",7
Br_J_Pharmacol,PMC7024701.nxml,A new mechanism for cannabidiol in regulating the one‐carbon cycle and methionine levels in Dictyostelium and in mammalian epilepsy models,03-1-2020,"['SCR_001528', 'SCR_001528', 'SCR_001528', 'SCR_001528', 'SCR_005483', 'SCR_005483', 'SCR_005483', 'SCR_005483', 'SCR_001653', 'SCR_001653', 'SCR_001653', 'SCR_001653', 'SCR_012040', 'SCR_012040', 'SCR_012040', 'SCR_012040', 'SCR_005375', 'SCR_005375', 'SCR_005375', 'SCR_005375']",20
Br_J_Pharmacol,PMC6965684.nxml,"Characterization of binding, functional activity, and contractile responses of the selective 5‐HT1F receptor agonist lasmiditan",07-11-2019,"['RRID:SCR_002798', 'RRID:SCR_008567']",2
Br_J_Pharmacol,PMC7393202.nxml,"Transgenic LQT2, LQT5, and LQT2‐5 rabbit models with decreased repolarisation reserve for prediction of drug‐induced ventricular arrhythmias",24-6-2020,"['SCR_005375', 'SCR_005375', 'SCR_000306', 'SCR_000306']",4
Br_J_Pharmacol,PMC6887679.nxml,Inhibiting nucleolin reduces inflammation induced by mitochondrial DNA in cardiomyocytes exposed to hypoxia and reoxygenation,27-10-2019,['RRID:SCR_000306'],1
Br_J_Pharmacol,PMC6329626.nxml,Characterization of kinetics of human cytochrome P450s involved in bioactivation of flucloxacillin: inhibition of CYP3A‐catalysed hydroxylation by sulfaphenazole,26-12-2018,"['RRID:SCR_016657', 'RRID:SCR_002798']",2
Br_J_Pharmacol,PMC6780032.nxml,"LUF7244, an allosteric modulator/activator of Kv11.1 channels, counteracts dofetilide‐induced torsades de pointes arrhythmia in the chronic atrioventricular block dog model",30-8-2019,"['RRID:SCR_011323', 'RRID:SCR_000188', 'RRID:SCR_000305', 'RRID:SCR_014565', 'RRID:SCR_001622', 'RRID:SCR_002798']",6
